Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,136.869995,137.229996,135.139999,135.820007,132.914230,3784100
2020-01-03,135.460007,136.789993,135.130005,135.630005,132.728302,4000100
2020-01-06,135.300003,136.320007,135.199997,136.149994,133.237152,4085100
2020-01-07,136.000000,136.070007,133.949997,134.009995,131.142944,5718100
2020-01-08,134.460007,135.360001,134.070007,134.699997,131.818192,3681400
2020-01-09,135.289993,135.380005,134.529999,134.789993,131.906265,3954700
2020-01-10,135.169998,135.419998,134.389999,134.529999,131.651810,3099500
2020-01-13,134.649994,136.589996,134.630005,136.529999,133.609024,5127200
2020-01-14,136.179993,136.940002,135.699997,136.850006,133.922180,4159700
2020-01-15,137.039993,139.250000,136.800003,139.199997,136.221909,5002600
2020-01-16,139.350006,140.160004,138.600006,139.610001,136.623123,4977900
2020-01-17,140.100006,141.320007,139.899994,141.259995,138.237823,6908700
2020-01-21,140.610001,142.119995,140.339996,141.860001,138.825012,4440000
2020-01-22,141.809998,143.570007,141.720001,143.380005,140.312485,5366100
2020-01-23,143.089996,143.850006,142.369995,143.649994,140.576706,3915700
2020-01-24,143.830002,144.149994,142.449997,142.919998,139.862320,2791500
2020-01-27,141.649994,143.360001,141.050003,142.139999,139.099014,3895300
2020-01-28,142.130005,142.919998,141.759995,142.440002,139.392593,2908300
2020-01-29,142.000000,142.449997,141.169998,141.729996,138.697769,3263200
2020-01-30,142.320007,143.960007,141.520004,143.830002,140.752853,4058500
2020-01-31,143.809998,144.649994,141.570007,142.020004,138.981583,4753100
2020-02-03,142.770004,143.070007,141.839996,142.509995,139.461075,3977800
2020-02-04,143.199997,144.059998,142.100006,143.220001,140.155899,3494300
2020-02-05,143.679993,144.589996,143.429993,144.300003,141.212799,3504900
2020-02-06,144.639999,145.300003,144.070007,144.330002,141.242157,3571400
2020-02-07,144.259995,145.720001,143.830002,145.369995,142.259903,3138500
2020-02-10,145.929993,146.419998,145.130005,145.660004,142.543701,3775600
2020-02-11,146.210007,146.360001,144.869995,146.080002,142.954712,3870500
2020-02-12,146.679993,146.740005,145.350006,146.080002,142.954712,4217400
2020-02-13,145.250000,147.130005,143.520004,146.470001,143.336380,5041400
2020-02-14,146.570007,147.149994,145.940002,146.990005,143.845245,3555600
2020-02-18,147.110001,147.199997,145.399994,145.600006,142.484985,4938700
2020-02-19,145.619995,146.479996,145.490005,145.529999,142.416473,2978800
2020-02-20,145.770004,145.800003,143.949997,145.160004,142.054413,2805900
2020-02-21,145.059998,145.919998,144.809998,145.850006,142.729645,4271800
2020-02-24,145.860001,147.149994,142.559998,142.639999,139.588318,5027700
2020-02-25,142.589996,144.380005,140.570007,141.100006,138.081268,7585800
2020-02-26,142.440002,143.750000,141.160004,141.979996,138.942413,6157200
2020-02-27,141.410004,143.139999,136.309998,136.369995,133.452438,8605000
2020-02-28,133.240005,133.750000,128.350006,132.029999,129.205307,14170000
2020-03-02,132.000000,137.770004,131.720001,137.580002,134.636566,8504500
2020-03-03,137.190002,139.669998,134.740005,135.580002,132.679352,8728300
2020-03-04,136.190002,142.710007,136.009995,142.389999,139.343658,7635700
2020-03-05,138.809998,141.419998,136.669998,138.100006,136.057983,6579100
2020-03-06,131.559998,138.169998,131.449997,137.259995,135.230392,6754900
2020-03-09,130.179993,133.350006,128.179993,130.160004,128.235382,8716300
2020-03-10,132.050003,134.570007,126.860001,134.139999,132.156540,8258000
2020-03-11,130.580002,132.539993,127.629997,129.750000,127.831444,7465100
2020-03-12,122.099998,125.000000,113.589996,115.339996,113.634514,12808300
2020-03-13,120.680000,127.589996,115.070000,127.449997,125.565453,12007700
2020-03-16,114.690002,123.820000,112.000000,113.089996,111.417778,10733300
2020-03-17,116.699997,127.860001,116.389999,127.720001,125.831459,14242300
2020-03-18,120.839996,127.720001,113.769997,120.919998,119.132004,15250800
2020-03-19,121.430000,122.089996,116.059998,117.339996,115.604935,9393500
2020-03-20,118.239998,118.449997,101.419998,103.930000,102.393234,13093200
2020-03-23,106.000000,112.870003,102.870003,105.180000,103.624748,13926800
2020-03-24,109.930000,114.430000,109.370003,113.839996,112.156700,11447000
2020-03-25,112.739998,116.360001,111.040001,112.500000,110.836510,9485500
2020-03-26,112.709999,121.800003,112.580002,120.260002,118.481773,10376800
2020-03-27,118.570000,124.650002,117.989998,120.459999,118.678810,9852500
2020-03-30,121.610001,125.839996,121.510002,125.480003,123.624580,6916800
2020-03-31,124.940002,125.699997,119.529999,120.099998,118.324135,7091700
2020-04-01,117.269997,122.300003,115.669998,118.120003,116.373413,6873000
2020-04-02,117.220001,125.180000,116.480003,123.860001,122.028534,6181800
2020-04-03,123.190002,125.370003,122.440002,124.589996,122.747742,5552000
2020-04-06,128.660004,132.130005,125.290001,131.160004,129.220596,8242200
2020-04-07,132.710007,135.080002,130.289993,130.479996,128.550644,6253900
2020-04-08,129.639999,133.289993,129.130005,132.610001,130.649155,5241100
2020-04-09,132.089996,135.080002,131.509995,133.630005,131.654068,5502400
2020-04-13,131.690002,133.350006,129.429993,130.889999,128.954575,3785000
2020-04-14,133.220001,138.630005,132.350006,138.399994,136.353531,6278700
2020-04-15,137.139999,137.559998,133.699997,135.029999,133.033371,5773100
2020-04-16,136.970001,136.970001,133.850006,135.639999,133.634354,4564000
2020-04-17,137.729996,138.000000,134.910004,137.550003,135.516113,4866500
2020-04-20,136.940002,137.380005,134.509995,134.550003,132.560471,3995400
2020-04-21,132.139999,132.940002,130.589996,130.940002,129.003845,4359500
2020-04-22,132.440002,133.669998,131.220001,132.619995,130.658997,4085100
2020-04-23,132.500000,134.139999,130.029999,130.259995,128.333893,5527700
2020-04-24,130.869995,134.820007,130.649994,134.360001,132.373276,4065500
2020-04-27,134.419998,135.210007,133.889999,134.460007,132.471802,4009200
2020-04-28,136.779999,137.679993,134.660004,136.320007,134.304306,6674200
2020-04-29,136.770004,136.979996,132.899994,133.360001,131.388077,6706800
2020-04-30,132.410004,133.169998,130.419998,132.289993,130.333878,6780000
2020-05-01,131.119995,132.229996,129.520004,130.139999,128.215668,4488000
2020-05-04,130.169998,131.350006,129.320007,130.919998,128.984131,5245300
2020-05-05,131.639999,133.330002,130.770004,131.669998,129.723053,3580000
2020-05-06,131.580002,132.229996,130.690002,130.779999,128.846222,4192200
2020-05-07,131.550003,132.000000,130.119995,131.550003,129.604843,5528000
2020-05-08,133.070007,135.160004,132.460007,134.229996,132.245209,4209100
2020-05-11,133.429993,136.199997,133.169998,134.380005,132.392975,3590400
2020-05-12,134.759995,136.380005,132.860001,132.940002,130.974274,3914600
2020-05-13,133.179993,134.470001,131.449997,132.960007,130.993988,5168500
2020-05-14,132.710007,133.559998,130.149994,133.080002,131.112213,5522200
2020-05-15,133.770004,137.660004,132.789993,135.949997,133.939774,20338200
2020-05-18,136.850006,137.990005,135.059998,135.520004,133.516129,8480300
2020-05-19,134.429993,134.759995,131.399994,131.729996,129.782150,6640300
2020-05-20,132.539993,132.679993,130.339996,131.259995,129.319107,8213100
2020-05-21,130.979996,131.440002,129.610001,130.210007,128.284637,4886300
2020-05-22,129.610001,130.630005,129.169998,130.479996,128.550644,3429200
2020-05-26,131.940002,132.050003,129.399994,129.750000,127.831444,5579300
2020-05-27,129.720001,130.839996,128.580002,130.809998,128.875778,5686500
2020-05-28,131.210007,132.729996,130.110001,132.289993,130.333878,4974400
2020-05-29,132.009995,132.240005,130.320007,131.550003,129.604843,13338800
2020-06-01,131.600006,133.949997,131.190002,132.990005,131.023544,4049200
2020-06-02,133.050003,133.809998,131.119995,132.630005,130.668854,5327500
2020-06-03,133.240005,134.279999,132.600006,132.820007,130.856049,5421200
2020-06-04,131.589996,133.559998,130.179993,130.570007,129.637817,5229700
2020-06-05,131.000000,133.520004,130.770004,132.440002,131.494461,7075700
2020-06-08,131.380005,132.470001,131.240005,132.210007,131.266113,5613000
2020-06-09,131.830002,133.149994,131.050003,132.970001,132.020676,6446900
2020-06-10,133.279999,135.160004,133.169998,134.130005,133.172394,7069900
2020-06-11,134.220001,135.139999,127.459999,127.839996,126.927299,8541000
2020-06-12,129.149994,129.929993,127.430000,129.000000,128.079025,7037500
2020-06-15,128.289993,130.960007,126.529999,130.479996,129.548447,5481000
2020-06-16,132.679993,133.059998,130.119995,131.669998,130.729950,5197700
2020-06-17,131.889999,133.039993,131.490005,131.759995,130.819305,3309700
2020-06-18,131.419998,133.130005,130.630005,132.779999,131.832031,3417200
2020-06-19,134.410004,134.820007,131.220001,131.279999,130.342743,8310100
2020-06-22,130.550003,131.759995,129.949997,131.050003,130.114380,3379900
2020-06-23,131.619995,132.679993,130.979996,131.360001,130.422165,3625600
2020-06-24,130.520004,131.070007,128.679993,129.559998,128.635025,4853500
2020-06-25,129.139999,131.729996,128.050003,131.410004,130.471817,4442000
2020-06-26,131.679993,132.369995,128.059998,128.929993,128.009506,7372700
2020-06-29,130.179993,131.399994,129.429993,131.080002,130.144165,4173900
2020-06-30,131.830002,132.820007,130.850006,132.259995,131.315735,4626700
2020-07-01,132.529999,133.619995,131.940002,132.360001,131.415039,3633000
2020-07-02,133.539993,134.169998,132.539993,132.850006,131.901535,2769200
2020-07-06,133.080002,133.949997,132.309998,133.300003,132.348328,4221600
2020-07-07,132.270004,134.619995,132.169998,133.570007,132.616394,4424500
2020-07-08,134.160004,134.690002,133.160004,134.220001,133.261749,3798200
2020-07-09,132.899994,133.940002,131.729996,132.710007,131.762543,4005200
2020-07-10,132.369995,134.889999,131.279999,134.460007,133.500046,5932800
2020-07-13,136.770004,138.070007,134.470001,134.910004,133.946823,8960000
2020-07-14,134.589996,136.949997,134.250000,135.520004,134.552475,6766800
2020-07-15,135.350006,136.190002,133.250000,133.690002,132.735535,5561300
2020-07-16,134.059998,134.360001,133.050003,133.880005,132.924179,3788100
2020-07-17,134.649994,135.059998,133.550003,134.660004,133.698608,3229300
2020-07-20,134.610001,134.610001,132.179993,133.110001,132.159683,3620300
2020-07-21,134.000000,136.410004,133.789993,134.429993,133.470245,5435400
2020-07-22,135.559998,136.250000,133.679993,136.009995,135.038971,3522300
2020-07-23,136.589996,137.250000,135.490005,137.080002,136.101334,5011400
2020-07-24,136.990005,138.639999,135.389999,136.059998,135.088608,3300000
2020-07-27,135.529999,137.759995,134.850006,137.669998,136.687119,3607700
2020-07-28,137.979996,138.589996,137.089996,137.380005,136.399200,3787500
2020-07-29,137.380005,139.000000,137.039993,137.929993,136.945251,3179000
2020-07-30,137.240005,138.220001,136.479996,137.690002,136.706985,2817600
2020-07-31,137.259995,137.699997,135.199997,137.660004,136.677200,4304100
